t,duration,acceleration
1,2.02925,1
2,1.75306,1.15755
3,1.72343,1.17745
4,1.7039,1.19095
5,1.2197,1.66373
6,1.21169,1.67472
7,1.21163,1.67481
8,1.21154,1.67493
9,1.21181,1.67456
10,1.2119,1.67444
11,1.21208,1.67419
12,1.94266,1.04457
13,1.72688,1.1751
14,1.2208,1.66223
15,1.21171,1.6747
16,1.2118,1.67458
17,1.2117,1.67471
18,1.21163,1.6748
19,1.21172,1.67468
20,1.21169,1.67473
21,1.21171,1.67469
22,1.21171,1.67469
23,1.21176,1.67463
24,1.88704,1.07536
25,1.74546,1.16259
26,1.22146,1.66134
27,1.21164,1.6748
28,1.56776,1.29436
29,1.21303,1.67288
30,1.21169,1.67473
31,1.21165,1.67478
32,1.21167,1.67475
33,1.21173,1.67468
34,1.21171,1.6747
35,1.21172,1.67468
36,1.86044,1.09074
37,1.8393,1.10327
38,1.2921,1.57051
39,1.21164,1.6748
40,1.2117,1.67472
41,1.21164,1.67479
42,1.21173,1.67468
43,1.21173,1.67467
44,1.69398,1.19792
45,1.22273,1.6596
46,1.21158,1.67487
47,1.21166,1.67477
48,1.88332,1.07749
