T,Duration,Acceleration
1,4076,1
2,1746,2.33448
3,1167,3.49272
4,916,4.44978
5,1043,3.90796
6,607,6.71499
7,500,8.152
8,439,9.28474
9,398,10.2412
10,351,11.6125
11,319,12.7774
12,368,11.0761
13,383,10.6423
14,337,12.095
15,315,12.9397
16,295,13.8169
17,279,14.6093
18,263,15.4981
19,249,16.3695
20,237,17.1983
21,226,18.0354
22,216,18.8704
23,208,19.5962
24,199,20.4824
25,274,14.8759
26,361,11.2909
27,290,14.0552
28,231,17.645
29,197,20.6904
30,164,24.8537
31,155,26.2968
32,150,27.1733
33,146,27.9178
34,141,28.9078
35,138,29.5362
36,134,30.4179
37,136,29.9706
38,142,28.7042
39,131,31.1145
40,125,32.608
41,120,33.9667
42,117,34.8376
43,114,35.7544
44,113,36.0708
45,110,37.0545
46,108,37.7407
47,106,38.4528
48,104,39.1923
