T,Duration,Acceleration
1,5660.5,1
2,3803.7,1.48816
3,2870.4,1.97202
4,1880.9,3.00946
5,1719.2,3.29252
6,1525.4,3.71083
7,1419,3.98908
8,1488.6,3.80257
9,1414.8,4.00092
10,1381.4,4.09765
11,1487.4,3.80563
12,1493.1,3.79111
13,1761.4,3.21364
14,1871.1,3.02523
15,1781.1,3.17809
16,1644.4,3.44229
17,1634.9,3.46229
18,1462.3,3.87096
19,1496.2,3.78325
20,1473.2,3.84232
21,1339.2,4.22678
22,1231.1,4.59792
23,1309.6,4.32231
24,1347.5,4.20074
25,1400.4,4.04206
26,1273,4.44658
27,1365.9,4.14415
28,1412.6,4.00715
29,1314,4.30784
30,1323.8,4.27595
31,1308.1,4.32727
32,1172.6,4.82731
33,1191.3,4.75153
34,1190.1,4.75632
35,1083.4,5.22476
36,1086.6,5.20937
37,1411.1,4.01141
38,1419.2,3.98851
39,1508.5,3.7524
40,1566.8,3.61278
41,1460.4,3.87599
42,1407.5,4.02167
43,1367.1,4.14052
44,1347.9,4.1995
45,1432.1,3.95259
46,1331.5,4.25122
47,1381.4,4.09765
48,1418.6,3.9902
